LAT_LON;CIDADE;ÂNGULO;FATOR
-3.2081547,-52.2086;Altamira;0;1
-3.2081547,-52.2086;Altamira;45;0.983977445
-3.2081547,-52.2086;Altamira;90;0.966407647
-3.2081547,-52.2086;Altamira;135;0.950350708
-3.2081547,-52.2086;Altamira;180;0.948906615
-20.4613172,-55.777153;Aquidauana;0;1
-20.4613172,-55.777153;Aquidauana;45;0.973613568
-20.4613172,-55.777153;Aquidauana;90;0.912848514
-20.4613172,-55.777153;Aquidauana;135;0.849368556
-20.4613172,-55.777153;Aquidauana;180;0.822158502
-22.4803709,-48.56096;Barra Bonita;0;1
-22.4803709,-48.56096;Barra Bonita;45;0.96549185
-22.4803709,-48.56096;Barra Bonita;90;0.901797369
-22.4803709,-48.56096;Barra Bonita;135;0.837768183
-22.4803709,-48.56096;Barra Bonita;180;0.814238377
-1.3413479,-48.59081;Belem;0;1
-1.3413479,-48.59081;Belem;45;0.99453387
-1.3413479,-48.59081;Belem;90;0.982595573
-1.3413479,-48.59081;Belem;135;0.969617706
-1.3413479,-48.59081;Belem;180;0.964654594
-15.7217173,-48.0777;Brasilia;0;1
-15.7217173,-48.0777;Brasilia;45;0.963016932
-15.7217173,-48.0777;Brasilia;90;0.902369364
-15.7217173,-48.0777;Brasilia;135;0.843062396
-15.7217173,-48.0777;Brasilia;180;0.824789438
-10.2116585,-63.851330;Buritis;0;1
-10.2116585,-63.851330;Buritis;45;0.981126387
-10.2116585,-63.851330;Buritis;90;0.943077665
-10.2116585,-63.851330;Buritis;135;0.901410999
-10.2116585,-63.851330;Buritis;180;0.884105162
-20.8521352,-41.175078;Cachoeiro de Itapemirim;0;1
-20.8521352,-41.175078;Cachoeiro de Itapemirim;45;0.977318878
-20.8521352,-41.175078;Cachoeiro de Itapemirim;90;0.922388573
-20.8521352,-41.175078;Cachoeiro de Itapemirim;135;0.863706763
-20.8521352,-41.175078;Cachoeiro de Itapemirim;180;0.837446223
-20.4810434,-54.775965;Campo Grande;0;1
-20.4810434,-54.775965;Campo Grande;45;0.972070782
-20.4810434,-54.775965;Campo Grande;90;0.909450857
-20.4810434,-54.775965;Campo Grande;135;0.844577102
-20.4810434,-54.775965;Campo Grande;180;0.817500685
-24.9637543,-53.542564;Cascavel;0;1
-24.9637543,-53.542564;Cascavel;45;0.965343839
-24.9637543,-53.542564;Cascavel;90;0.896191666
-24.9637543,-53.542564;Cascavel;135;0.827423849
-24.9637543,-53.542564;Cascavel;180;0.802728932
-13.6582185,-59.82911;Comodoro;0;1
-13.6582185,-59.82911;Comodoro;45;0.973855193
-13.6582185,-59.82911;Comodoro;90;0.927347903
-13.6582185,-59.82911;Comodoro;135;0.885037461
-13.6582185,-59.82911;Comodoro;180;0.873566077
-18.1878123,-55.253195;Coxim;0;1
-18.1878123,-55.253195;Coxim;45;0.978041635
-18.1878123,-55.253195;Coxim;90;0.922929838
-18.1878123,-55.253195;Coxim;135;0.863469545
-18.1878123,-55.253195;Coxim;180;0.835990748
-15.4191704,-56.456297;Cuiaba;0;1
-15.4191704,-56.456297;Cuiaba;45;0.978426796
-15.4191704,-56.456297;Cuiaba;90;0.930170946
-15.4191704,-56.456297;Cuiaba;135;0.880464265
-15.4191704,-56.456297;Cuiaba;180;0.859521857
-22.2312801,-54.86489;Dourados;0;1
-22.2312801,-54.86489;Dourados;45;0.969106909
-22.2312801,-54.86489;Dourados;90;0.905386008
-22.2312801,-54.86489;Dourados;135;0.841415465
-22.2312801,-54.86489;Dourados;180;0.817730762
-12.1997775,-39.33484;Feira de Santana;0;1
-12.1997775,-39.33484;Feira de Santana;45;0.982816387
-12.1997775,-39.33484;Feira de Santana;90;0.958434235
-12.1997775,-39.33484;Feira de Santana;135;0.935644385
-12.1997775,-39.33484;Feira de Santana;180;0.930867474
-27.571313,-48.75116;Florianopolis;0;1
-27.571313,-48.75116;Florianopolis;45;0.969568953
-27.571313,-48.75116;Florianopolis;90;0.902942861
-27.571313,-48.75116;Florianopolis;135;0.833273665
-27.571313,-48.75116;Florianopolis;180;0.804238866
-3.7933031,-38.66004;Fortaleza;0;1
-3.7933031,-38.66004;Fortaleza;45;0.988427895
-3.7933031,-38.66004;Fortaleza;90;0.976643178
-3.7933031,-38.66004;Fortaleza;135;0.964311748
-3.7933031,-38.66004;Fortaleza;180;0.962944964
-25.5253592,-54.569723;Foz do Iguacu;0;1
-25.5253592,-54.569723;Foz do Iguacu;45;0.971129947
-25.5253592,-54.569723;Foz do Iguacu;90;0.907781531
-25.5253592,-54.569723;Foz do Iguacu;135;0.842553056
-25.5253592,-54.569723;Foz do Iguacu;180;0.817092601
-23.3918911,-46.59336;Guarulhos;0;1
-23.3918911,-46.59336;Guarulhos;45;0.969999611
-23.3918911,-46.59336;Guarulhos;90;0.911048071
-23.3918911,-46.59336;Guarulhos;135;0.850775269
-23.3918911,-46.59336;Guarulhos;180;0.827031438
-5.5194506,-47.54796;Imperatriz;0;1
-5.5194506,-47.54796;Imperatriz;45;0.987676741
-5.5194506,-47.54796;Imperatriz;90;0.961246595
-5.5194506,-47.54796;Imperatriz;135;0.93381113
-5.5194506,-47.54796;Imperatriz;180;0.92333636
-18.3992961,-49.2667735;Itumbiara;0;1
-18.3992961,-49.2667735;Itumbiara;45;0.962710401
-18.3992961,-49.2667735;Itumbiara;90;0.898374335
-18.3992961,-49.2667735;Itumbiara;135;0.833865631
-18.3992961,-49.2667735;Itumbiara;180;0.811480363
-21.7289999,-43.522609;Juiz de Fora;0;1
-21.7289999,-43.522609;Juiz de Fora;45;0.974607228
-21.7289999,-43.522609;Juiz de Fora;90;0.915664787
-21.7289999,-43.522609;Juiz de Fora;135;0.852395645
-21.7289999,-43.522609;Juiz de Fora;180;0.823952903
-3.044653,-60.107193;Manaus;0;1
-3.044653,-60.107193;Manaus;45;0.992408107
-3.044653,-60.107193;Manaus;90;0.978083133
-3.044653,-60.107193;Manaus;135;0.965681896
-3.044653,-60.107193;Manaus;180;0.964513913
-16.7280803,-43.921123;Montes Claros;0;1
-16.7280803,-43.921123;Montes Claros;45;0.974973931
-16.7280803,-43.921123;Montes Claros;90;0.920035752
-16.7280803,-43.921123;Montes Claros;135;0.863518546
-16.7280803,-43.921123;Montes Claros;180;0.840458811
-5.7999146,-35.292285;Natal;0;1
-5.7999146,-35.292285;Natal;45;0.993943047
-5.7999146,-35.292285;Natal;90;0.98197981
-5.7999146,-35.292285;Natal;135;0.966521019
-5.7999146,-35.292285;Natal;180;0.959650444
-5.7999146,-35.292285;Natal;0;1
-31.7506474,-52.342705;Pelotas;45;0.882929034
-31.7506474,-52.342705;Pelotas;90;0.814313696
-31.7506474,-52.342705;Pelotas;135;0.740876902
-31.7506474,-52.342705;Pelotas;180;0.709115564
-30.1087957,-51.317229;Porto Alegre;0;1
-30.1087957,-51.317229;Porto Alegre;45;0.968755033
-30.1087957,-51.317229;Porto Alegre;90;0.896247383
-30.1087957,-51.317229;Porto Alegre;135;0.819262361
-30.1087957,-51.317229;Porto Alegre;180;0.787018844
-8.0432875,-35.0743061;Recife;0;1
-8.0432875,-35.0743061;Recife;45;0.993646311
-8.0432875,-35.0743061;Recife;90;0.978762207
-8.0432875,-35.0743061;Recife;135;0.959436404
-8.0432875,-35.0743061;Recife;180;0.950876574
-22.913885,-43.72618;Rio De Janeiro;0;1
-22.913885,-43.72618;Rio De Janeiro;45;0.970543933
-22.913885,-43.72618;Rio De Janeiro;90;0.908887029
-22.913885,-43.72618;Rio De Janeiro;135;0.845790795
-22.913885,-43.72618;Rio De Janeiro;180;0.820619247
-2.5606303,-44.328163;Sao Luis;0;1
-2.5606303,-44.328163;Sao Luis;45;0.988982197
-2.5606303,-44.328163;Sao Luis;90;0.97625126
-2.5606303,-44.328163;Sao Luis;135;0.968525361
-2.5606303,-44.328163;Sao Luis;180;0.972522674
-23.6821604,-46.875500;Sao Paulo;0;1
-23.6821604,-46.875500;Sao Paulo;45;0.970507199
-23.6821604,-46.875500;Sao Paulo;90;0.911443983
-23.6821604,-46.875500;Sao Paulo;135;0.850168807
-23.6821604,-46.875500;Sao Paulo;180;0.825293958
-11.8707568,-55.5764215;Sinop;0;1
-11.8707568,-55.5764215;Sinop;45;0.978834297
-11.8707568,-55.5764215;Sinop;90;0.936725354
-11.8707568,-55.5764215;Sinop;135;0.894648192
-11.8707568,-55.5764215;Sinop;180;0.878694464
-20.2821776,-40.355744;Vitoria;0;1
-20.2821776,-40.355744;Vitoria;45;0.953556919
-20.2821776,-40.355744;Vitoria;90;0.859674978
-20.2821776,-40.355744;Vitoria;135;0.763761651
-20.2821776,-40.355744;Vitoria;180;0.7287501
