Altamira;-3.2081547,-52.2086
Aquidauana;-20.4613172,-55.777153
Barra Bonita;-22.4803709,-48.56096
Belem;-1.3413479,-48.59081
Brasilia;-15.7217173,-48.0777
Buritis;-10.2116585,-63.851330
Cachoeiro de Itapemirim;-20.8521352,-41.175078
Campo Grande;-20.4810434,-54.775965
Cascavel;-24.9637543,-53.542564
Comodoro;-13.6582185,-59.82911
Coxim;-18.1878123,-55.253195
Cuiaba;-15.4191704,-56.456297
Dourados;-22.2312801,-54.86489
Feira de Santana;-12.1997775,-39.33484
Florianopolis;-27.571313,-48.75116
Fortaleza;-3.7933031,-38.66004
Foz do Iguacu;-25.5253592,-54.569723
Guarulhos;-23.3918911,-46.59336
Imperatriz;-5.5194506,-47.54796
Itumbiara;-18.3992961,-49.2667735
Juiz de Fora;-21.7289999,-43.522609
Manaus;-3.044653,-60.107193
Montes Claros;-16.7280803,-43.921123
Natal;-5.7999146,-35.292285
Pelotas;-31.7506474,-52.342705
Porto Alegre;-30.1087957,-51.317229
Recife;-8.0432875,-35.0743061
Rio de Janeiro;-22.913885,-43.72618
Sao Luis;-2.5606303,-44.328163
Sao Paulo;-23.6821604,-46.875500
Sinop;-11.8707568,-55.5764215
Vitoria;-20.2821776,-40.355744
