LATITUDE;LONGITUDE;CIDADE;ÂNGULO;MWH
-3,2081547;-52,2086;Altamira;0,000;29,084
-3,2081547;-52,2086;Altamira;5,000;29,05577498
-3,2081547;-52,2086;Altamira;10,000;29,02002329
-3,2081547;-52,2086;Altamira;15,000;28,9786266
-3,2081547;-52,2086;Altamira;20,000;28,93252573
-3,2081547;-52,2086;Altamira;25,000;28,8817207
-3,2081547;-52,2086;Altamira;30,000;28,8262115
-3,2081547;-52,2086;Altamira;35,000;28,76599812
-3,2081547;-52,2086;Altamira;40,000;28,69919891
-3,2081547;-52,2086;Altamira;45,000;28,6323997
-3,2081547;-52,2086;Altamira;50,000;28,56842299
-3,2081547;-52,2086;Altamira;55,000;28,51009129
-3,2081547;-52,2086;Altamira;60,000;28,45834542
-3,2081547;-52,2086;Altamira;65,000;28,40754039
-3,2081547;-52,2086;Altamira;70,000;28,35391285
-3,2081547;-52,2086;Altamira;75,000;28,29934448
-3,2081547;-52,2086;Altamira;80,000;28,24195361
-3,2081547;-52,2086;Altamira;85,000;28,18456274
-3,2081547;-52,2086;Altamira;90,000;28,12717187
-3,2081547;-52,2086;Altamira;95,000;28,06884016
-3,2081547;-52,2086;Altamira;100,000;28,01239013
-3,2081547;-52,2086;Altamira;105,000;27,95876259
-3,2081547;-52,2086;Altamira;110,000;27,90701672
-3,2081547;-52,2086;Altamira;115,000;27,86091586
-3,2081547;-52,2086;Altamira;120,000;27,81857833
-3,2081547;-52,2086;Altamira;125,000;27,78094497
-3,2081547;-52,2086;Altamira;130,000;27,74519328
-3,2081547;-52,2086;Altamira;135,000;27,71414576
-3,2081547;-52,2086;Altamira;140,000;27,68780241
-3,2081547;-52,2086;Altamira;145,000;27,66616323
-3,2081547;-52,2086;Altamira;150,000;27,65016906
-3,2081547;-52,2086;Altamira;155,000;27,63887905
-3,2081547;-52,2086;Altamira;160,000;27,63417488
-3,2081547;-52,2086;Altamira;165,000;27,63511571
-3,2081547;-52,2086;Altamira;170,000;27,64170155
-3,2081547;-52,2086;Altamira;175,000;27,65581406
-3,2081547;-52,2086;Altamira;180,000;27,67557157
-20,4613172;-55,777153;Aquidauana;0,000;32,782
-20,4613172;-55,777153;Aquidauana;5,000;32,77631066
-20,4613172;-55,777153;Aquidauana;10,000;32,74596749
-20,4613172;-55,777153;Aquidauana;15,000;32,69286694
-20,4613172;-55,777153;Aquidauana;20,000;32,6160608
-20,4613172;-55,777153;Aquidauana;25,000;32,5212384
-20,4613172;-55,777153;Aquidauana;30,000;32,41219264
-20,4613172;-55,777153;Aquidauana;35,000;32,28892352
-20,4613172;-55,777153;Aquidauana;40,000;32,14953459
-20,4613172;-55,777153;Aquidauana;45,000;31,99592231
-20,4613172;-55,777153;Aquidauana;50,000;31,82808666
-20,4613172;-55,777153;Aquidauana;55,000;31,6441312
-20,4613172;-55,777153;Aquidauana;60,000;31,44500417
-20,4613172;-55,777153;Aquidauana;65,000;31,23355021
-20,4613172;-55,777153;Aquidauana;70,000;31,01451047
-20,4613172;-55,777153;Aquidauana;75,000;30,79167783
-20,4613172;-55,777153;Aquidauana;80,000;30,56600052
-20,4613172;-55,777153;Aquidauana;85,000;30,33463387
-20,4613172;-55,777153;Aquidauana;90,000;30,10137076
-20,4613172;-55,777153;Aquidauana;95,000;29,86715944
-20,4613172;-55,777153;Aquidauana;100,000;29,63199988
-20,4613172;-55,777153;Aquidauana;105,000;29,39873678
-20,4613172;-55,777153;Aquidauana;110,000;29,16926657
-20,4613172;-55,777153;Aquidauana;115,000;28,94548571
-20,4613172;-55,777153;Aquidauana;120,000;28,72929064
-20,4613172;-55,777153;Aquidauana;125,000;28,52257781
-20,4613172;-55,777153;Aquidauana;130,000;28,32629544
