LATITUDE,LONGITUDE,CIDADE,ÂNGULO,MWH
-3.2081547,-52.2086,Altamira,0,29.084
-3.2081547,-52.2086,Altamira,5,29.05577498
-3.2081547,-52.2086,Altamira,10,29.02002329
-3.2081547,-52.2086,Altamira,15,28.9786266
-3.2081547,-52.2086,Altamira,20,28.93252573
-3.2081547,-52.2086,Altamira,25,28.8817207
-3.2081547,-52.2086,Altamira,30,28.8262115
-3.2081547,-52.2086,Altamira,35,28.76599812
-3.2081547,-52.2086,Altamira,40,28.69919891
-3.2081547,-52.2086,Altamira,45,28.6323997
-3.2081547,-52.2086,Altamira,50,28.56842299
-3.2081547,-52.2086,Altamira,55,28.51009129
-3.2081547,-52.2086,Altamira,60,28.45834542
-3.2081547,-52.2086,Altamira,65,28.40754039
-3.2081547,-52.2086,Altamira,70,28.35391285
-3.2081547,-52.2086,Altamira,75,28.29934448
-3.2081547,-52.2086,Altamira,80,28.24195361
-3.2081547,-52.2086,Altamira,85,28.18456274
-3.2081547,-52.2086,Altamira,90,28.12717187
-3.2081547,-52.2086,Altamira,95,28.06884016
-3.2081547,-52.2086,Altamira,100,28.01239013
-3.2081547,-52.2086,Altamira,105,27.95876259
-3.2081547,-52.2086,Altamira,110,27.90701672
-3.2081547,-52.2086,Altamira,115,27.86091586
-3.2081547,-52.2086,Altamira,120,27.81857833
-3.2081547,-52.2086,Altamira,125,27.78094497
-3.2081547,-52.2086,Altamira,130,27.74519328
-3.2081547,-52.2086,Altamira,135,27.71414576
-3.2081547,-52.2086,Altamira,140,27.68780241
-3.2081547,-52.2086,Altamira,145,27.66616323
-3.2081547,-52.2086,Altamira,150,27.65016906
-3.2081547,-52.2086,Altamira,155,27.63887905
-3.2081547,-52.2086,Altamira,160,27.63417488
-3.2081547,-52.2086,Altamira,165,27.63511571
-3.2081547,-52.2086,Altamira,170,27.64170155
-3.2081547,-52.2086,Altamira,175,27.65581406
-3.2081547,-52.2086,Altamira,180,27.67557157
-20.4613172,-55.777153,Aquidauana,0,32.782
-20.4613172,-55.777153,Aquidauana,5,32.77631066
-20.4613172,-55.777153,Aquidauana,10,32.74596749
-20.4613172,-55.777153,Aquidauana,15,32.69286694
-20.4613172,-55.777153,Aquidauana,20,32.6160608
-20.4613172,-55.777153,Aquidauana,25,32.5212384
-20.4613172,-55.777153,Aquidauana,30,32.41219264
-20.4613172,-55.777153,Aquidauana,35,32.28892352
-20.4613172,-55.777153,Aquidauana,40,32.14953459
-20.4613172,-55.777153,Aquidauana,45,31.99592231
-20.4613172,-55.777153,Aquidauana,50,31.82808666
-20.4613172,-55.777153,Aquidauana,55,31.6441312
-20.4613172,-55.777153,Aquidauana,60,31.44500417
-20.4613172,-55.777153,Aquidauana,65,31.23355021
-20.4613172,-55.777153,Aquidauana,70,31.01451047
-20.4613172,-55.777153,Aquidauana,75,30.79167783
-20.4613172,-55.777153,Aquidauana,80,30.56600052
-20.4613172,-55.777153,Aquidauana,85,30.33463387
-20.4613172,-55.777153,Aquidauana,90,30.10137076
-20.4613172,-55.777153,Aquidauana,95,29.86715944
-20.4613172,-55.777153,Aquidauana,100,29.63199988
-20.4613172,-55.777153,Aquidauana,105,29.39873678
-20.4613172,-55.777153,Aquidauana,110,29.16926657
-20.4613172,-55.777153,Aquidauana,115,28.94548571
-20.4613172,-55.777153,Aquidauana,120,28.72929064
-20.4613172,-55.777153,Aquidauana,125,28.52257781
-20.4613172,-55.777153,Aquidauana,130,28.32629544
-20.4613172,-55.777153,Aquidauana,135,28.14328821
-20.4613172,-55.777153,Aquidauana,140,27.97260789
-20.4613172,-55.777153,Aquidauana,145,27.81804738
-20.4613172,-55.777153,Aquidauana,150,27.6805549
-20.4613172,-55.777153,Aquidauana,155,27.5620269
-20.4613172,-55.777153,Aquidauana,160,27.46151516
-20.4613172,-55.777153,Aquidauana,165,27.38281257
-20.4613172,-55.777153,Aquidauana,170,27.3287638
-20.4613172,-55.777153,Aquidauana,175,27.30316175
-20.4613172,-55.777153,Aquidauana,180,27.30600642
-22.4803709,-48.56096,Barra Bonita,0,29.877
-22.4803709,-48.56096,Barra Bonita,5,29.84752144
-22.4803709,-48.56096,Barra Bonita,10,29.79902444
-22.4803709,-48.56096,Barra Bonita,15,29.73150902
-22.4803709,-48.56096,Barra Bonita,20,29.6459261
-22.4803709,-48.56096,Barra Bonita,25,29.5441775
-22.4803709,-48.56096,Barra Bonita,30,29.42436141
-22.4803709,-48.56096,Barra Bonita,35,29.28552688
-22.4803709,-48.56096,Barra Bonita,40,29.13052669
-22.4803709,-48.56096,Barra Bonita,45,28.96887005
-22.4803709,-48.56096,Barra Bonita,50,28.80436064
-22.4803709,-48.56096,Barra Bonita,55,28.63414571
-22.4803709,-48.56096,Barra Bonita,60,28.45917617
-22.4803709,-48.56096,Barra Bonita,65,28.27374649
-22.4803709,-48.56096,Barra Bonita,70,28.07690576
-22.4803709,-48.56096,Barra Bonita,75,27.87055581
-22.4803709,-48.56096,Barra Bonita,80,27.65659849
-22.4803709,-48.56096,Barra Bonita,85,27.43883749
-22.4803709,-48.56096,Barra Bonita,90,27.21917464
-22.4803709,-48.56096,Barra Bonita,95,27.00046271
-22.4803709,-48.56096,Barra Bonita,100,26.78365263
-22.4803709,-48.56096,Barra Bonita,105,26.56969531
-22.4803709,-48.56096,Barra Bonita,110,26.35859076
-22.4803709,-48.56096,Barra Bonita,115,26.15319173
-22.4803709,-48.56096,Barra Bonita,120,25.95349823
-22.4803709,-48.56096,Barra Bonita,125,25.76331395
-22.4803709,-48.56096,Barra Bonita,130,25.58454072
-22.4803709,-48.56096,Barra Bonita,135,25.42003132
-22.4803709,-48.56096,Barra Bonita,140,25.27073666
-22.4803709,-48.56096,Barra Bonita,145,25.13855858
-22.4803709,-48.56096,Barra Bonita,150,25.02349709
-22.4803709,-48.56096,Barra Bonita,155,24.92745402
-22.4803709,-48.56096,Barra Bonita,160,24.85138031
-22.4803709,-48.56096,Barra Bonita,165,24.79527595
-22.4803709,-48.56096,Barra Bonita,170,24.75914093
-22.4803709,-48.56096,Barra Bonita,175,24.74297527
-22.4803709,-48.56096,Barra Bonita,180,24.74677896
-1.3413479,-48.59081,Belem,0,29.82
-1.3413479,-48.59081,Belem,5,29.82375946
-1.3413479,-48.59081,Belem,5,29.82375946
-1.3413479,-48.59081,Belem,15,29.81812027
-1.3413479,-48.59081,Belem,20,29.80684191
-1.3413479,-48.59081,Belem,25,29.78992436
-1.3413479,-48.59081,Belem,30,29.76830749
-1.3413479,-48.59081,Belem,35,29.74293116
-1.3413479,-48.59081,Belem,40,29.71473525
-1.3413479,-48.59081,Belem,45,29.68184002
-1.3413479,-48.59081,Belem,50,29.64518533
-1.3413479,-48.59081,Belem,55,29.60477118
-1.3413479,-48.59081,Belem,60,29.56341717
-1.3413479,-48.59081,Belem,65,29.52300303
-1.3413479,-48.59081,Belem,70,29.48634834
-1.3413479,-48.59081,Belem,75,29.4534531
-1.3413479,-48.59081,Belem,80,29.42149773
-1.3413479,-48.59081,Belem,85,29.3886025
-1.3413479,-48.59081,Belem,90,29.35288767
-1.3413479,-48.59081,Belem,95,29.31529312
-1.3413479,-48.59081,Belem,100,29.27581884
-1.3413479,-48.59081,Belem,105,29.23728442
-1.3413479,-48.59081,Belem,110,29.19781014
-1.3413479,-48.59081,Belem,115,29.15927572
-1.3413479,-48.59081,Belem,120,29.1207413
-1.3413479,-48.59081,Belem,125,29.08408661
-1.3413479,-48.59081,Belem,130,29.04743192
-1.3413479,-48.59081,Belem,135,29.0117171
-1.3413479,-48.59081,Belem,140,28.97694213
-1.3413479,-48.59081,Belem,145,28.94498676
-1.3413479,-48.59081,Belem,150,28.91679085
-1.3413479,-48.59081,Belem,155,28.89423411
-1.3413479,-48.59081,Belem,160,28.87919629
-1.3413479,-48.59081,Belem,165,28.86979766
-1.3413479,-48.59081,Belem,170,28.86321861
-1.3413479,-48.59081,Belem,175,28.85757943
-1.3413479,-48.59081,Belem,180,28.85663956
-15.7217173,-48.0777,Brasilia,0,34.313
-15.7217173,-48.0777,Brasilia,5,34.26566373
-15.7217173,-48.0777,Brasilia,10,34.19707444
-15.7217173,-48.0777,Brasilia,15,34.11013027
-15.7217173,-48.0777,Brasilia,20,34.00966145
-15.7217173,-48.0777,Brasilia,25,33.89083775
-15.7217173,-48.0777,Brasilia,30,33.75365917
-15.7217173,-48.0777,Brasilia,35,33.59619361
-15.7217173,-48.0777,Brasilia,40,33.42037318
-15.7217173,-48.0777,Brasilia,45,33.23199414
-15.7217173,-48.0777,Brasilia,50,33.03878488
-15.7217173,-48.0777,Brasilia,55,32.84943979
-15.7217173,-48.0777,Brasilia,60,32.66782308
-15.7217173,-48.0777,Brasilia,65,32.49007055
-15.7217173,-48.0777,Brasilia,70,32.30652175
-15.7217173,-48.0777,Brasilia,75,32.11621062
-15.7217173,-48.0777,Brasilia,80,31.92010321
-15.7217173,-48.0777,Brasilia,85,31.71819953
-15.7217173,-48.0777,Brasilia,90,31.51049956
-15.7217173,-48.0777,Brasilia,95,31.29796937
-15.7217173,-48.0777,Brasilia,100,31.08157499
-15.7217173,-48.0777,Brasilia,105,30.86614665
-15.7217173,-48.0777,Brasilia,110,30.65265041
-15.7217173,-48.0777,Brasilia,115,30.4439844
-15.7217173,-48.0777,Brasilia,120,30.24208072
-15.7217173,-48.0777,Brasilia,125,30.04597331
-15.7217173,-48.0777,Brasilia,130,29.86145846
-15.7217173,-48.0777,Brasilia,135,29.6933664
-15.7217173,-48.0777,Brasilia,140,29.54362921
-15.7217173,-48.0777,Brasilia,145,29.41321296
-15.7217173,-48.0777,Brasilia,150,29.30501577
-15.7217173,-48.0777,Brasilia,155,29.21517346
-15.7217173,-48.0777,Brasilia,160,29.14561812
-15.7217173,-48.0777,Brasilia,165,29.09634976
-15.7217173,-48.0777,Brasilia,170,29.06736837
-15.7217173,-48.0777,Brasilia,175,29.06060604
-15.7217173,-48.0777,Brasilia,180,29.07799488
-10.2116585,-63.85133,Buritis,0,33.168
-10.2116585,-63.85133,Buritis,5,33.16421078
-10.2116585,-63.85133,Buritis,10,33.14526467
-10.2116585,-63.85133,Buritis,15,33.11116168
-10.2116585,-63.85133,Buritis,20,33.06190181
-10.2116585,-63.85133,Buritis,25,32.99559044
-10.2116585,-63.85133,Buritis,30,32.91317488
-10.2116585,-63.85133,Buritis,35,32.81939165
-10.2116585,-63.85133,Buritis,40,32.71518807
-10.2116585,-63.85133,Buritis,45,32.60056413
-10.2116585,-63.85133,Buritis,50,32.48025636
-10.2116585,-63.85133,Buritis,55,32.35710667
-10.2116585,-63.85133,Buritis,60,32.23774621
-10.2116585,-63.85133,Buritis,65,32.12028035
-10.2116585,-63.85133,Buritis,70,32.00091989
-10.2116585,-63.85133,Buritis,75,31.87492828
-10.2116585,-63.85133,Buritis,80,31.74325285
-10.2116585,-63.85133,Buritis,85,31.60494628
-10.2116585,-63.85133,Buritis,90,31.46190318
-10.2116585,-63.85133,Buritis,95,31.31507086
-10.2116585,-63.85133,Buritis,100,31.16444932
-10.2116585,-63.85133,Buritis,105,31.01193317
-10.2116585,-63.85133,Buritis,110,30.85941702
-10.2116585,-63.85133,Buritis,115,30.70974278
-10.2116585,-63.85133,Buritis,120,30.56196316
-10.2116585,-63.85133,Buritis,125,30.41986736
-10.2116585,-63.85133,Buritis,130,30.2834554
-10.2116585,-63.85133,Buritis,135,30.15651649
-10.2116585,-63.85133,Buritis,140,30.04189255
-10.2116585,-63.85133,Buritis,145,29.94147819
-10.2116585,-63.85133,Buritis,150,29.8533788
-10.2116585,-63.85133,Buritis,155,29.77569977
-10.2116585,-63.85133,Buritis,160,29.70844109
-10.2116585,-63.85133,Buritis,165,29.65349739
-10.2116585,-63.85133,Buritis,170,29.61465787
-10.2116585,-63.85133,Buritis,175,29.59381715
-10.2116585,-63.85133,Buritis,180,29.59286985
-20.8521352,-41.175078,Cachoeiro de Itapemirim,0,29.055
-20.8521352,-41.175078,Cachoeiro de Itapemirim,5,29.05311447
-20.8521352,-41.175078,Cachoeiro de Itapemirim,10,29.0323737
-20.8521352,-41.175078,Cachoeiro de Itapemirim,15,28.99183491
-20.8521352,-41.175078,Cachoeiro de Itapemirim,20,28.93338363
-20.8521352,-41.175078,Cachoeiro de Itapemirim,25,28.86173367
-20.8521352,-41.175078,Cachoeiro de Itapemirim,30,28.7778278
-20.8521352,-41.175078,Cachoeiro de Itapemirim,35,28.68166602
-20.8521352,-41.175078,Cachoeiro de Itapemirim,40,28.57042003
-20.8521352,-41.175078,Cachoeiro de Itapemirim,45,28.44597537
-20.8521352,-41.175078,Cachoeiro de Itapemirim,50,28.30833204
-20.8521352,-41.175078,Cachoeiro de Itapemirim,55,28.15937555
-20.8521352,-41.175078,Cachoeiro de Itapemirim,60,27.99722038
-20.8521352,-41.175078,Cachoeiro de Itapemirim,65,27.82563759
-20.8521352,-41.175078,Cachoeiro de Itapemirim,70,27.65028375
-20.8521352,-41.175078,Cachoeiro de Itapemirim,75,27.47115886
-20.8521352,-41.175078,Cachoeiro de Itapemirim,80,27.28920568
-20.8521352,-41.175078,Cachoeiro de Itapemirim,85,27.10348146
-20.8521352,-41.175078,Cachoeiro de Itapemirim,90,26.91492894
-20.8521352,-41.175078,Cachoeiro de Itapemirim,95,26.72543366
-20.8521352,-41.175078,Cachoeiro de Itapemirim,100,26.53405286
-20.8521352,-41.175078,Cachoeiro de Itapemirim,105,26.34361482
-20.8521352,-41.175078,Cachoeiro de Itapemirim,110,26.15600506
-20.8521352,-41.175078,Cachoeiro de Itapemirim,115,25.97310912
-20.8521352,-41.175078,Cachoeiro de Itapemirim,120,25.79492699
-20.8521352,-41.175078,Cachoeiro de Itapemirim,125,25.62522973
-20.8521352,-41.175078,Cachoeiro de Itapemirim,130,25.46496009
-20.8521352,-41.175078,Cachoeiro de Itapemirim,135,25.31317531
-20.8521352,-41.175078,Cachoeiro de Itapemirim,140,25.17364645
-20.8521352,-41.175078,Cachoeiro de Itapemirim,145,25.0463735
-20.8521352,-41.175078,Cachoeiro de Itapemirim,150,24.93135647
-20.8521352,-41.175078,Cachoeiro de Itapemirim,155,24.83048087
-20.8521352,-41.175078,Cachoeiro de Itapemirim,160,24.74468948
-20.8521352,-41.175078,Cachoeiro de Itapemirim,165,24.67492505
-20.8521352,-41.175078,Cachoeiro de Itapemirim,170,24.62684415
-20.8521352,-41.175078,Cachoeiro de Itapemirim,175,24.60138956
-20.8521352,-41.175078,Cachoeiro de Itapemirim,180,24.59856128
-20.4810434,-54.775965,Campo Grande,0,32.833
-20.4810434,-54.775965,Campo Grande,5,32.8206163
-20.4810434,-54.775965,Campo Grande,10,32.78822816
-20.4810434,-54.775965,Campo Grande,15,32.73107262
-20.4810434,-54.775965,Campo Grande,20,32.65105486
-20.4810434,-54.775965,Campo Grande,25,32.54817489
-20.4810434,-54.775965,Campo Grande,30,32.43005344
-20.4810434,-54.775965,Campo Grande,35,32.30050088
-20.4810434,-54.775965,Campo Grande,40,32.15761203
-20.4810434,-54.775965,Campo Grande,45,31.99852911
-20.4810434,-54.775965,Campo Grande,50,31.8261099
-20.4810434,-54.775965,Campo Grande,55,31.6403544
-20.4810434,-54.775965,Campo Grande,60,31.4412626
-20.4810434,-54.775965,Campo Grande,65,31.22883451
-20.4810434,-54.775965,Campo Grande,70,31.00783309
-20.4810434,-54.775965,Campo Grande,75,30.7820687
-20.4810434,-54.775965,Campo Grande,80,30.55344654
-20.4810434,-54.775965,Campo Grande,85,30.32196661
-20.4810434,-54.775965,Campo Grande,90,30.08762889
-20.4810434,-54.775965,Campo Grande,95,29.85138599
-20.4810434,-54.775965,Campo Grande,100,29.61514309
-20.4810434,-54.775965,Campo Grande,105,29.37985279
-20.4810434,-54.775965,Campo Grande,110,29.14837285
-20.4810434,-54.775965,Campo Grande,115,28.92165587
-20.4810434,-54.775965,Campo Grande,120,28.70160704
-20.4810434,-54.775965,Campo Grande,125,28.49013155
-20.4810434,-54.775965,Campo Grande,130,28.28722938
-20.4810434,-54.775965,Campo Grande,135,28.09671091
